,StreamID,Brick,count,first_t,last_t,mean,std,min,q1,median,q3,max,nUnique
3,bb16be5e_a08a_4cab_8e55_bbe1814282e7,Point,143720,2021-01-01T00:03:14.637Z,2023-12-31T23:52:03.107Z,0,0,0,0,0,0,0,1
4,10dd4bbe_3172_40e0_8a13_b054d298e5bb,Point,143674,2021-01-01T00:03:14.649Z,2023-12-31T23:52:03.124Z,0,0,0,0,0,0,0,1
13,5d796f92_44d6_49e8_8066_2e7b49f0c3b6,Point,143683,2021-01-01T00:03:14.756Z,2023-12-31T23:52:03.285Z,0,0,0,0,0,0,0,1
14,5f9f7014_bc31_43dc_9264_9ece2cdb0634,Mode_Command,143622,2021-01-01T00:03:14.768Z,2023-12-31T23:52:03.302Z,0,0,0,0,0,0,0,1
15,cd93898e_ec21_4d45_95fe_502ad92fa0ba,Mode_Command,49999,2021-01-01T00:03:14.779Z,2021-12-16T15:39:42.894Z,0,0,0,0,0,0,0,1
16,513e3e0f_6155_433d_9d60_8c82ff0c2557,Reset_Command,143748,2021-01-01T00:03:14.790Z,2023-12-31T23:52:03.341Z,0,0,0,0,0,0,0,1
24,e6b582c5_0beb_44f6_8f82_0a809ef27ecc,Mode_Command,143683,2021-01-01T00:03:14.880Z,2023-12-31T23:52:03.497Z,0,0,0,0,0,0,0,1
31,1b0e031e_c5e0_4b2d_add0_858f0887e48d,Point,143629,2021-01-01T00:03:14.960Z,2023-12-31T23:52:03.630Z,0,0,0,0,0,0,0,1
32,e777c567_724d_4725_a7e1_42599f4533e3,Point,143646,2021-01-01T00:03:14.971Z,2023-12-31T23:52:03.647Z,0,0,0,0,0,0,0,1
41,e28ee52d_7a14_4163_bb03_13ce27778b40,Point,143619,2021-01-01T00:03:15.073Z,2023-12-31T23:52:03.822Z,0,0,0,0,0,0,0,1
42,ba8f5b91_c7f1_4a2d_945d_3adcf08dc6de,Mode_Command,143619,2021-01-01T00:03:15.084Z,2023-12-31T23:52:03.845Z,0,0,0,0,0,0,0,1
44,959a5f3c_b4a5_40c7_a2ce_ea1a0940779c,Reset_Command,143654,2021-01-01T00:03:15.105Z,2023-12-31T23:52:03.880Z,0,0,0,0,0,0,0,1
52,bc56632b_7fec_4de5_a4a7_d202851b8c25,Mode_Command,143618,2021-01-01T00:03:15.199Z,2023-12-31T23:52:04.032Z,0,0,0,0,0,0,0,1
59,c0f823c9_267a_4f1c_aa81_0bde5ae54e07,Point,143572,2021-01-01T00:03:15.278Z,2023-12-31T23:52:04.214Z,0,0,0,0,0,0,0,1
60,286a5220_5396_4af5_a987_abedc6fadf54,Point,143649,2021-01-01T00:03:15.289Z,2023-12-31T23:52:04.228Z,0,0,0,0,0,0,0,1
69,dda62a6f_eb2a_47f5_b20f_faaee84df9dd,Point,143501,2021-01-01T00:03:15.389Z,2023-12-31T23:52:04.394Z,0,0,0,0,0,0,0,1
70,c9114da7_5de4_44dc_8f21_57dc1703755b,Mode_Command,143548,2021-01-01T00:03:15.400Z,2023-12-31T23:52:04.410Z,0,0,0,0,0,0,0,1
72,aa3c01a9_f83c_4445_b744_b58f3a7dbea1,Reset_Command,143648,2021-01-01T00:03:15.423Z,2023-12-31T23:52:04.443Z,0,0,0,0,0,0,0,1
80,174f5c9a_7774_4063_898c_b05f29ae1c79,Mode_Command,143575,2021-01-01T00:03:15.515Z,2023-12-31T23:52:04.590Z,0,0,0,0,0,0,0,1
87,80527669_80b4_4267_b3f7_b5e0f0aa68e1,Point,143515,2021-01-01T00:03:15.593Z,2023-12-31T23:52:04.720Z,0,0,0,0,0,0,0,1
88,859dfd12_ae72_45ce_9339_f93f94c3bba2,Point,143534,2021-01-01T00:03:15.605Z,2023-12-31T23:52:04.737Z,0,0,0,0,0,0,0,1
97,834eeace_b35d_4c33_95c2_f3c0224c45b6,Point,143461,2021-01-01T00:03:15.706Z,2023-12-31T23:52:04.902Z,0,0,0,0,0,0,0,1
98,d8d3f744_9079_4974_bd87_d1e00cbf63ec,Mode_Command,143510,2021-01-01T00:03:15.716Z,2023-12-31T23:52:04.918Z,0,0,0,0,0,0,0,1
100,b83ab5c8_c885_4e2c_9914_69a9bfbdc4f3,Reset_Command,143578,2021-01-01T00:03:15.740Z,2023-12-31T23:52:04.962Z,0,0,0,0,0,0,0,1
108,97623167_4c3e_4127_81c9_1479f3c7d07d,Mode_Command,143525,2021-01-01T00:03:15.830Z,2023-12-31T23:52:05.103Z,0,0,0,0,0,0,0,1
115,fbeda7fa_1d9d_47c6_bc32_8faf21a25732,Point,143433,2021-01-01T00:03:15.959Z,2023-12-31T23:52:05.230Z,0,0,0,0,0,0,0,1
116,13be1a63_ec02_46a3_b3c2_4d68d0c76f92,Point,143488,2021-01-01T00:03:15.970Z,2023-12-31T23:52:05.246Z,0,0,0,0,0,0,0,1
125,68e8588c_9395_441c_97d4_1b5bb056ee80,Point,143444,2021-01-01T00:03:16.067Z,2023-12-31T23:52:05.400Z,0,0,0,0,0,0,0,1
126,3349d16a_88c2_47ca_80c8_679ecd929e27,Mode_Command,143418,2021-01-01T00:03:16.078Z,2023-12-31T23:52:05.418Z,0,0,0,0,0,0,0,1
128,ebca65ca_f6d5_4a7f_a861_6659dca8935b,Reset_Command,143477,2021-01-01T00:03:16.099Z,2023-12-31T23:52:05.457Z,0,0,0,0,0,0,0,1
136,fad205e6_9ccb_4938_97b5_1c9b11da395b,Mode_Command,143389,2021-01-01T00:03:16.185Z,2023-12-31T23:52:05.598Z,0,0,0,0,0,0,0,1
143,99f93911_2af6_42e8_876b_2317dd9f9be6,Point,143401,2021-01-01T00:03:16.263Z,2023-12-31T23:52:05.725Z,0,0,0,0,0,0,0,1
144,2dbf4503_071a_42a9_9ede_4de1c4bc80ad,Point,143440,2021-01-01T00:03:16.274Z,2023-12-31T23:52:05.743Z,0,0,0,0,0,0,0,1
153,cc6fa510_5ab5_4c02_bcd1_a60087842dde,Point,143333,2021-01-01T00:03:16.367Z,2023-12-31T23:52:05.891Z,0,0,0,0,0,0,0,1
154,50ac3787_751a_4ad4_8527_c8dea8a15063,Mode_Command,143376,2021-01-01T00:03:16.378Z,2023-12-31T23:52:05.908Z,0,0,0,0,0,0,0,1
156,5cbf9b60_918b_4233_a9a8_621aaebc1a51,Reset_Command,143498,2021-01-01T00:03:16.400Z,2023-12-31T23:52:05.941Z,0,0,0,0,0,0,0,1
164,51481b9c_8637_4aec_86ee_dbe1c40ce6d0,Mode_Command,143373,2021-01-01T00:03:16.487Z,2023-12-31T23:52:06.074Z,0,0,0,0,0,0,0,1
171,bad34de4_aeaa_408b_baf1_9fc4abe2d71f,Point,143325,2021-01-01T00:03:16.561Z,2023-12-31T23:52:06.200Z,0,0,0,0,0,0,0,1
172,91e967bb_d79b_4b1f_88d4_73c47dbac4f4,Point,143351,2021-01-01T00:03:16.572Z,2023-12-31T23:52:06.216Z,0,0,0,0,0,0,0,1
181,764d4d44_aa29_4e19_8396_2821126f0ad0,Point,143323,2021-01-01T00:03:16.680Z,2023-12-31T23:52:06.373Z,0,0,0,0,0,0,0,1
182,65d60058_0589_449e_9822_dfda471f6e17,Mode_Command,143329,2021-01-01T00:03:16.690Z,2023-12-31T23:52:06.394Z,0,0,0,0,0,0,0,1
184,3f566df3_7fa4_4416_aed0_2ba55e9a08b7,Reset_Command,143385,2021-01-01T00:03:16.712Z,2023-12-31T23:52:06.433Z,0,0,0,0,0,0,0,1
192,1b16c523_9b12_4caf_ad8e_2c2612242064,Mode_Command,143321,2021-01-01T00:03:16.805Z,2023-12-31T23:52:06.573Z,0,0,0,0,0,0,0,1
199,28bf16d4_2f1d_4627_8a7f_47a5c23d0319,Point,143259,2021-01-01T00:03:16.887Z,2023-12-31T23:52:06.699Z,0,0,0,0,0,0,0,1
200,6e2b3e2e_3cb6_4188_953e_70787e13317b,Point,143290,2021-01-01T00:03:16.897Z,2023-12-31T23:52:06.718Z,0,0,0,0,0,0,0,1
209,3f7a52b5_3acb_4d55_b999_38e275b2c4d9,Point,143263,2021-01-01T00:03:16.998Z,2023-12-31T23:52:06.872Z,0,0,0,0,0,0,0,1
210,129418f4_ffec_4676_918f_38b750f08de3,Mode_Command,143244,2021-01-01T00:03:17.010Z,2023-12-31T23:52:06.896Z,0,0,0,0,0,0,0,1
212,c4a521a3_b6fe_4114_bc16_ac119e9eb6af,Reset_Command,143314,2021-01-01T00:03:17.032Z,2023-12-31T23:52:06.935Z,0,0,0,0,0,0,0,1
220,7c092694_762f_458a_8b38_2f8514599cd4,Mode_Command,143278,2021-01-01T00:03:17.129Z,2023-12-31T23:52:07.073Z,0,0,0,0,0,0,0,1
239,09cb5556_3853_42e1_9825_93d7a8e154d6,Enable_Status,143653,2021-01-01T00:03:14.385Z,2023-12-31T23:52:02.762Z,0,0,0,0,0,0,0,1
244,78c4b52a_2a28_4f96_b61e_688ef42252c2,Enable_Status,143701,2021-01-01T00:03:14.441Z,2023-12-31T23:52:02.844Z,0,0,0,0,0,0,0,1
249,929a697d_9146_4a66_aafb_cbae7840c19f,Point,144823,2021-01-01T00:03:11.622Z,2023-12-31T23:51:58.703Z,0,0,0,0,0,0,0,1
250,df4b8090_b8d6_463b_a4c3_2eca10d64f41,Point,144972,2021-01-01T00:03:11.636Z,2023-12-31T23:51:58.719Z,0,0,0,0,0,0,0,1
260,117dffb3_c06b_4a53_b998_4fdfadc1749f,Mode_Command,144753,2021-01-01T00:03:11.762Z,2023-12-31T23:51:58.902Z,0,0,0,0,0,0,0,1
262,8909b642_116d_4eb4_8a41_87322ab1653e,Reset_Command,144783,2021-01-01T00:03:11.786Z,2023-12-31T23:51:58.934Z,0,0,0,0,0,0,0,1
263,d9fa4be7_46ca_4441_80d7_e23db0752d6f,Mode_Command,144867,2021-01-01T00:03:11.800Z,2023-12-31T23:51:58.951Z,0,0,0,0,0,0,0,1
289,503620bc_ceb3_43eb_9293_ce22386270f2,Point,144093,2021-01-01T00:03:13.292Z,2023-12-31T23:52:01.115Z,0,0,0,0,0,0,0,1
290,5b55a04e_8164_4266_a3eb_6b202e577f49,Point,144264,2021-01-01T00:03:13.303Z,2023-12-31T23:52:01.131Z,0,0,0,0,0,0,0,1
300,08925a51_9848_4f33_98f4_9e984f654005,Mode_Command,144159,2021-01-01T00:03:13.417Z,2023-12-31T23:52:01.306Z,0,0,0,0,0,0,0,1
302,b36d10da_c435_4e4b_b6af_f00cba018c6d,Reset_Command,144282,2021-01-01T00:03:13.440Z,2023-12-31T23:52:01.343Z,0,0,0,0,0,0,0,1
318,d335c293_979d_4fbd_933f_df753e90754f,Mode_Command,144059,2021-01-01T00:03:13.625Z,2023-12-31T23:52:01.631Z,0,0,0,0,0,0,0,1
329,8000eb50_5b29_4612_97f3_a6db6fdd7658,Point,143993,2021-01-01T00:03:13.751Z,2023-12-31T23:52:01.827Z,0,0,0,0,0,0,0,1
330,3faf947f_7f6b_4b46_ab76_98346e6d1f1f,Point,144033,2021-01-01T00:03:13.761Z,2023-12-31T23:52:01.846Z,0,0,0,0,0,0,0,1
