site_id,stream_id,point_class,equipment_label,location_label,raw_archive,raw_member_name,raw_n_points,raw_first_timestamp,raw_last_timestamp,scenario_ids
BTS_A,0004d23a_b71f_4122_a2fa_30c5bd84537b,Mode_Status,BTS_A Fcu 086,nan,Site_Aaa.zip,Site_Aaa/2188.pickle,153680.0,2021-01-01T00:02:43.762000+00:00,2023-12-31T23:50:00.737000+00:00,train_point_disambiguation_00001
BTS_A,002ea032_e573_429c_9b8b_5ed201721197,Thermal_Power_Sensor,BTS_A Fcu 088,nan,Site_Aaa.zip,Site_Aaa/4148.pickle,153756.0,2021-01-01T00:02:03.770000+00:00,2023-12-31T23:59:36.533000+00:00,train_day_mean_lookup_00001;train_day_mean_lookup_00006;train_day_mean_lookup_00010;train_day_mean_lookup_00012;train_relative_24h_mean_lookup_00001;train_relative_24h_mean_lookup_00006;train_relative_24h_mean_lookup_00010;train_relative_24h_mean_lookup_00012;train_window_mean_lookup_00001
BTS_C,003e13e3_ab28_4472_998b_8fadac91974e,Time_Parameter,BTS_C Location 017,nan,Site_Caa.zip,Site_Caa/4356.pickle,175767.0,2020-05-22T00:23:03.029000+00:00,2024-01-18T02:51:27.443000+00:00,test_point_disambiguation_00059
BTS_A,0044bdfe_23f9_4b64_926b_7f79f1ee94a6,Air_Flow_Sensor,BTS_A Damper 087,nan,Site_Aaa.zip,Site_Aaa/3479.pickle,153683.0,2021-01-01T00:02:21.094000+00:00,2023-12-31T23:59:50.870000+00:00,dev_day_mean_lookup_00022;dev_relative_24h_mean_lookup_00022;train_day_mean_lookup_00015;train_day_mean_lookup_00019;train_day_mean_lookup_00024;train_quality_gate_00001;train_quality_gate_00002;train_quality_gate_00004;train_quality_gate_00006;train_quality_gate_00008;train_relative_24h_mean_lookup_00016;train_relative_24h_mean_lookup_00020;train_relative_24h_mean_lookup_00024;train_timestamp_nearest_lookup_00001;train_timestamp_value_lookup_00001;train_window_mean_lookup_00005
BTS_A,007c8696_8271_4530_9df6_905daeda3cec,Frequency_Sensor,BTS_A Exhaust Fan 019,nan,Site_Aaa.zip,Site_Aaa/176.pickle,153892.0,2021-01-01T00:01:14.911000+00:00,2023-12-31T23:58:55.986000+00:00,dev_day_mean_lookup_00028;train_day_mean_lookup_00030;train_day_mean_lookup_00032;train_day_mean_lookup_00034;train_relative_24h_mean_lookup_00029;train_relative_24h_mean_lookup_00030;train_relative_24h_mean_lookup_00033;train_relative_24h_mean_lookup_00034;train_window_mean_lookup_00008
BTS_B,00c9657d_ed65_4700_bee6_45bcb992175a,Min_Discharge_Air_Temperature_Setpoint_Limit,BTS_B Fan Coil Unit 002,BTS_B Conference Room 010,Site_Baa.zip,Site_Baa/460.pickle,144538.0,2021-01-01T00:03:12.376000+00:00,2023-12-31T23:51:59.761000+00:00,dev_day_mean_lookup_00009;dev_relative_24h_mean_lookup_00007;train_day_mean_lookup_00002;train_day_mean_lookup_00007;train_day_mean_lookup_00011;train_relative_24h_mean_lookup_00002;train_relative_24h_mean_lookup_00005;train_relative_24h_mean_lookup_00011;train_window_mean_lookup_00002
BTS_B,00fc1fb0_41ba_4bb7_a570_9028d0bd451f,Damper_Position_Sensor,BTS_B Outside Damper 002,nan,Site_Baa.zip,Site_Baa/327.pickle,145284.0,2021-01-01T00:03:09.245000+00:00,2023-12-31T23:51:54.904000+00:00,dev_day_mean_lookup_00014;dev_relative_24h_mean_lookup_00014;train_day_mean_lookup_00013;train_day_mean_lookup_00016;train_day_mean_lookup_00021;train_relative_24h_mean_lookup_00013;train_relative_24h_mean_lookup_00015;train_relative_24h_mean_lookup_00017;train_timestamp_nearest_lookup_00023;train_timestamp_value_lookup_00023;train_window_mean_lookup_00004
BTS_A,0148b1e4_cdca_49b9_98b9_00cf6a2d01b8,Peak_Power_Demand_Sensor,BTS_A Electrical Meter 018,nan,Site_Aaa.zip,Site_Aaa/447.pickle,112699.0,2021-01-01T00:14:07.394000+00:00,2023-12-31T23:50:58.653000+00:00,dev_day_mean_lookup_00040;dev_relative_24h_mean_lookup_00040;train_day_mean_lookup_00039;train_day_mean_lookup_00041;train_day_mean_lookup_00042;train_relative_24h_mean_lookup_00039;train_relative_24h_mean_lookup_00041;train_relative_24h_mean_lookup_00042;train_window_mean_lookup_00011
BTS_C,01502608_a410_40a9_8795_0dd865515053,Electrical_Power_Sensor,BTS_C Supply Fan 035,nan,Site_Caa.zip,Site_Caa/4182.pickle,182992.0,2020-05-22T00:16:30.430000+00:00,2024-01-18T08:11:13.141000+00:00,test_day_mean_lookup_00003;test_day_mean_lookup_00004;test_day_mean_lookup_00005;test_day_mean_lookup_00008;test_relative_24h_mean_lookup_00003;test_relative_24h_mean_lookup_00004;test_relative_24h_mean_lookup_00008;test_relative_24h_mean_lookup_00009;test_window_mean_lookup_00003
BTS_A,01b54fef_c8c5_4441_95c5_75325e823584,Frequency_Sensor,BTS_A Exhaust Fan 007,nan,Site_Aaa.zip,Site_Aaa/856.pickle,154076.0,2021-01-01T00:10:02.701000+00:00,2023-12-31T23:57:57.379000+00:00,dev_day_mean_lookup_00045;dev_relative_24h_mean_lookup_00045;train_day_mean_lookup_00043;train_day_mean_lookup_00044;train_day_mean_lookup_00047;train_relative_24h_mean_lookup_00043;train_relative_24h_mean_lookup_00044;train_relative_24h_mean_lookup_00047;train_window_mean_lookup_00013
